name;area;employer;salary;experience;monthly_hours
Помощник бухгалтера (1с: Бухгалтерия);Москва;Арутюнян Ваагн Араикович;135000.0;1;168.0
Руководитель проектов 1С;Москва;ТАНАИС;250000.0;1;168.0
Директор магазина (Бабушкина, 111);Санкт-Петербург;Вотоня;65000.0;1;168.0
Администратор магазина (Мельникайте, 137);Тюмень;МАГНИТ, Розничная сеть;53200.0;0;180.0
Оператор 1С - Кассир;Подольск (Московская область);Виноторговая компания Форт;77500.0;1;180.0
Менеджер отдела сопровождения (1С:ИТС);Москва;Инфостарт;92000.0;3;168.0
Водитель-экспедитор с автомобилем вместимостью до 1,5 тонн;Тверь;Элемент;180000.0;0;115.5
"Программист 1С в АО ""ОСК""";Самара;Объединенная страховая компания;;1;168.0
Пекарь (Томск, Тимирязевское, Новая, 11В);Тимирязевское;Пятёрочка;46350.0;0;
Программист 1С;Камышин;Камышинтеплоэнерго;59000.0;1;168.0
Программист 1С;Пятигорск;ИМИДЖ;;1;168.0
Разработчик 1С (junior);Екатеринбург;Восток.Софт;;1;168.0
Консультант-аналитик 1С;Санкт-Петербург;Русские решения;100000.0;1;168.0
Программист 1С;Москва;АЛМАЗ;300000.0;3;168.0
Официант с обязанностями кассира;Москва;Алло Пицца;3750.0;0;227.5
Водитель-экспедитор с личным грузовым автомобилем (от 1,5 тонн);Новосибирск;Компания DIO;170000.0;1;
Персональный менеджер (ул. Воровского, 171);Ижевск;Ак Барс Банк;65000.0;0;189.0
1С разработчик;Санкт-Петербург;ТаймВэб;;1;168.0
Бухгалтер 1-ой категории;Москва;Правительство Москвы;;1;168.0
Ведущий аналитик / Консультант 1С;Москва;КСА;310000.0;3;168.0
Ассистент стоматолога (Родионова,19);Челябинск;Семейная стоматологическая клиника;65000.0;1;
Оператор 1 С;Екатеринбург;МС-ГРУП;70000.0;1;168.0
Водитель категории В,С;Санкт-Петербург;Вига;140000.0;1;
Программист 1С;Липецк;РТК;100000.0;1;168.0
