name;area;employer;salary;experience;monthly_hours
Диспетчер-логист по транспорту;Москва;СМУ ИНЖМАГИСТРАЛЬ;97500.0;1;168.0
Менеджер отдела логистики;Москва;Фаберон;125000.0;3;168.0
Водитель-экспедитор (категории В) на наш транспорт;Екатеринбург;Логист-ЕКБ;90000.0;1;
Транспортный логист (Инертные материалы);Краснодар;ЭльДонЭкспо;95000.0;0;168.0
Продавец-логист;Нижний Новгород;ОКЕЙ – Федеральная розничная сеть;49750.0;0;168.0
Менеджер маркетплейсов Логист ВБ;Москва;ForestGum;80000.0;3;168.0
Логист-экспедитор на автотранспорт;Нижний Новгород;Колесница НН;80000.0;1;168.0
Менеджер по логистике (экспорт);Санкт-Петербург;Мираторг, Агропромышленный холдинг;104500.0;1;180.0
Менеджер по логистике / Логист;Москва;БВБ-Альянс;110000.0;1;168.0
Супервайзер-логист транспортной службы (п. Индустриальный);Краснодар;Восток - Запад;88000.0;1;168.0
Логист-диспетчер;Алматы;Solum;;3;168.0
Логист по направлению (LCL / FTL, международные перевозки);Москва;Тихоокеанская Логистическая Компания;150000.0;3;168.0
Менеджер по логистике;Казань;Базальтовые Огнезащитные Системы;80000.0;1;168.0
Менеджер по логистике;Липецк;Черкизово, Группа предприятий;;1;168.0
Диспетчер-логист (Калининский район);Новосибирск;ГенПрокат.ru;80000.0;0;159.0
Диспетчер-логист;Петрозаводск;Турхолдинг Родина Карелия;80000.0;0;168.0
Логист на собственный транспорт (Москва и Московская область);Москва;Абсолют Лайн;140000.0;1;168.0
Логист;Иваново (Ивановская область);Логист-Трейд;70000.0;1;168.0
Логист ВЭД Китай (таможенное оформление, сертификация);Москва;СИМБАТ;150000.0;6;168.0
Помощник логиста . п. Шушары;Шушары;Гарант-Логистика;45000.0;1;168.0
Логист | Специалист | Менеджер;Гомель;Регионвторресурсы;;1;180.0
Менеджер по логистике;Санкт-Петербург;1001pled.ru;90000.0;3;168.0
Менеджер по логистике с опытом (Pro);Екатеринбург;Надежда HR / Трансформационный HR-Коуч;120000.0;1;168.0
Логист-экспедитор на наемный транспорт;Казань;ТК ДАР;100000.0;1;168.0
Специалист по логистике;Алматы;MAXWELL DISTRIBUTION;67500.0;1;168.0
Логист/экспедитор транспортный;Брест;ЭКСПОНОВА;;1;168.0
Менеджер по логистике;Караганда;Казфитингпласт;;1;168.0
Водитель-курьер с личным автомобилем / Менеджер по логистике;Хабаровск;МК-Инвест;70000.0;1;168.0
Менеджер по логистике / специалист по логистике;Казань;Быстрая Логистика;175000.0;0;168.0
Специалист по логистике;Санкт-Петербург;Ирарт;90000.0;1;168.0
Логист по работе с собственным транспортом;Ростов-на-Дону;Delko;150000.0;1;168.0
Менеджер по логистике (Китай, негабарит);Москва;НьюБизнесЛайн;200000.0;3;168.0
Менеджер по логистике(маркетплейсы);Москва;Онлайнбрэндc;90000.0;1;168.0
Логист;Тула;Ванвард Рус;75000.0;1;168.0
Курьер/Помощник логиста;Москва;Тахотренд М;60000.0;1;168.0
Менеджер по логистике (экспедиция);Казань;ВИТАТРАНС;180000.0;1;168.0
Ведущий специалист по транспортной логистике/Логист;Москва;ЭкоЛайн;107000.0;1;180.0
Менеджер по логистике на маркетплейсы;Москва;Галанина Ольга Владимировна;65000.0;1;150.0
