name;area;employer;salary;experience;monthly_hours
Преподаватель английского языка;Шымкент;Социальный городок «Салем»;14850.0;1;108.0
Логопед-дефектолог;Москва;Центр образования и творчества Синий Кот;;3;
Арт-терапевт/психолог/специалист по арт-терапии;Астана;ДХС InDiGo;48750.0;1;
Главный специалист по дебиторской и кредиторской задолженности;Москва;Гринатом;;3;189.0
Воспитатель частного детского сада;Уфа;Чайлд Сити;45000.0;1;105.0
Бухгалтер по отражению поступления/реализации автомобилей, премий дилерам;Москва;ТЕНЕТ РУС;;1;168.0
Вожатый в летнюю IT-Школу;Новосибирск;Movavi;;1;168.0
Директор по премиальному обслуживанию;Уфа;Газпромбанк;150000.0;1;168.0
Заместитель руководителя отделения банка (пр. Советский, 32);Кемерово;Альфа-Банк;152600.0;1;168.0
Психолог;Кузьмоловский;ИРиПА;60000.0;0;110.0
Главный операционист в банк (пл.Свободы);Нижний Новгород;Россельхозбанк;;0;168.0
Старший продавец (ул. Южная);Бугры;Лента, федеральная розничная сеть;66200.0;1;
Медицинский представитель (Эндо-кардио направление);Нижний Новгород;Фармстандарт;;1;168.0
Начинающий специалист (интервьюер);Москва;Правительство Москвы;;0;168.0
Фельдшер скорой медицинской помощи;Тюмень;Государственное бюджетное учреждение здравоохранения Тюменской области Станция скорой медицинской помощи;57800.0;0;
Педагог-психолог;Краснодар;МАОУ СОШ № 47;35000.0;1;150.0
Консультант 1С;Ижевск;Berger International Group;125000.0;1;168.0
Подсобный рабочий (бригадир);Череповец;Северсталь;85000.0;1;180.0
Старший менеджер по премиальному обслуживанию;Калининград;Газпромбанк;150000.0;1;168.0
Руководитель секции (Московское ш.);Орел;Лента, федеральная розничная сеть;80000.0;1;
Детский психолог в клинику психиатрии и психотерапии Нейро-Пси (г. Екатеринбург);Екатеринбург;Нейро-Пси;100000.0;1;56.0
Трафик-менеджер;Санкт-Петербург;Академия профессионального коучинга и психологии 5 Prism;70000.0;1;168.0
Менеджер по подбору персонала;Санкт-Петербург;Единый информационно-расчетный центр Санкт-Петербурга;110050.0;1;168.0
Оператор службы клиентской поддержки;Москва;Азбука вкуса;50000.0;1;180.0
Помощник педагога в детский сад «ДАРвиль» / Тьютор (м. Медведково);Москва;Логопедический детский сад ДАРвиль;63500.0;0;168.0
Продавец-консультант бездымных систем (Окей Путилково);Москва;ANCOR;109000.0;0;180.0
Педагог-психолог;Уфа;МБОУ Центр образования № 25;22000.0;0;168.0
Воспитатель-спортсмен (тренер) в коррекционный центр;Набережные Челны;Центр Успешного Развития и Воспитания Фоукс;75000.0;0;
Педагог-психолог;Москва;ГБОУ инженерно-техническая школа;100000.0;3;
Клинический психолог;Москва;ФГБУ НМХЦ им. Н. И. Пирогова Минздрава России;120000.0;1;147.0
SMM-менеджер;Санкт-Петербург;Савицкая Аэлита Михайловна;15000.0;0;
Педагог-психолог;Челябинск;ГБУЗ Челябинская областная детская клиническая больница;40000.0;0;126.0
Педагог-психолог;Гомель;Средняя школа № 21 г. Гомеля;;0;168.0
Тренер по художественной гимнастике;Новокузнецк;Чемпионика-НК;32500.0;1;42.0
Психолог;Санкт-Петербург;СПб ГБУ СОН Центр социальной помощи семье и детям Невского района СПб;55000.0;1;168.0
Педагог-психолог;Пермь;МАОУ ЭКОШКОЛА Г. ПЕРМИ;33500.0;0;168.0
Продавец-консультант табачных изделий (Новоугличское шоссе);Сергиев Посад (Московская область);Лента, федеральная розничная сеть;81600.0;0;120.0
Педагог-психолог;Тюмень;Разумейки;45000.0;1;105.0
Психолог – учитель;Самарканд;FAST EDUCATION;;1;150.0
Воспитатель в детский сад;Москва;АНО Центр Развития АТЕНЕУМ;84000.0;1;168.0
Директор магазина;Новомичуринск;билайн;64000.0;1;168.0
Инженер в линейный цех;Новосибирск;Ростелеком;56687.5;0;168.0
Продавец-консультант бездымных систем ( ТЦ Калейдоскоп);Москва;ANCOR;99000.0;0;180.0
Кладовщик;Санкт-Петербург;Делимобиль;93500.0;1;189.0
Социальный педагог;Ростов-на-Дону;МБОУ Школа № 6;31000.0;1;126.0
Тренер по художественной и эстетической гимнастике;Москва;Гимнастический клуб Небеса (Усачева Екатерина Игоревна );80000.0;0;84.0
Администратор (куратор лечения);Москва;Центр Душевного Здоровья;70000.0;1;180.0
Специалист по безопасности (улица Пушкина);Томск;Лента, федеральная розничная сеть;59000.0;1;120.0
Психотерапевт (с медицинским образованием);Хабаровск;Центр психологии и психотерапии Pacific Mental Health Centre (ООО Сервис);;1;
Продавец за витрину (Мытищи);Мытищи (Московская область);Лента, федеральная розничная сеть;90700.0;0;
Методист образовательных продуктов;Санкт-Петербург;ИПМП РПА им. Б.Д. Карвасарского;60000.0;1;168.0
Методист на программу по развитию soft skills у детей;Краснодар;Институт Smart;55000.0;1;168.0
Кассир отделения банка;Одинцово (Московская область);Альфа-Банк;110000.0;1;198.0
Директор офиса продаж и обслуживания;Зеленогорск (Ленинградская обл);билайн;109000.0;1;174.0
Специалист по безопасности (улица Революции);Пермь;Лента, федеральная розничная сеть;61500.0;1;
