name;area;employer;salary;experience;monthly_hours
Junior Python Developer;Челябинск;Удовиченко Анастасия Александровна;92500.0;0;176.0
Fullstack-разработчик (Python, React/Typescript);Нижний Новгород;Гринатом;;3;176.0
Администратор Linux;Москва;Аэроэкспресс;;1;176.0
Golang-разработчик;Санкт-Петербург;Red Digital;235000.0;3;154.0
ETL-разработчик (Python/Pandas);Москва;Ритейл Эксперт;110000.0;1;176.0
Backend-разработчик (C++, Python, Java/Kotlin, Go);Москва;Яндекс;;3;176.0
Python-разработчик (Junior);Орел;VOXYS;80000.0;1;176.0
Machine Learning/Computer Vision Engineer;Минск;Пеленг;;3;176.0
Руководитель направления экономического анализа;Москва;Авто Финанс Банк;;3;176.0
Фулстек аналитик/Fullstack Analyst в команду Data Science;Санкт-Петербург;ATI.SU;;3;176.0
Quantitative Researcher – DeFi & HFT;Москва;vlg digital;;3;176.0
Тестировщик-автоматизатор (Python);Ярославль;Тензор;80000.0;0;176.0
Ведущий инженер по автоматизации тестирования Python, направление разработки ERP;Москва;Ozon;;3;176.0
QA automation engineer (Python, ML-сервисы);Москва;РТЛабс;;3;176.0
Ведущий системный администратор Linux;Москва;КонсультантПлюс;;3;176.0
Frontend Developer (Js, VueJs);Астана;Лидсфлоу;80000.0;1;176.0
ТИМ-координатор КР;Москва;Научно-Исследовательский Институт Проектирования Объектов Гражданского Строительства и Комплексного Развития Территорий Моспроект;200000.0;1;176.0
Репетитор по Информатике (Готовая программа);Москва;Умскул Репетиторы;90000.0;0;110.0
Разработчик ХД/Data Engineer;Москва;Раппорто;;3;176.0
Fullstack разработчик (Python\TypeScript(react));Москва;YADRO;;3;176.0
Python-разработчик;Тольятти;Интернет вещей;;1;176.0
Python разработчик (Django, Selenium/Playwright);Москва;Gorodissky IP Security;115000.0;1;176.0
Product Analyst (Event Analytics);Минск;Genesis Group AG;;3;176.0
Fullstack-разработчик (Python, React) / AI‑инженер-программист, вайбкодинг;Москва;APPTRIX;140000.0;1;176.0
Backend Developer — Go / PostgreSQL;Москва;Рыбаков Артем Владимирович;304000.0;3;176.0
