name;area;employer;salary;experience;monthly_hours
Юрисконсульт/Юрист;Кемерово;Траст Лойер;105000.0;1;168.0
Младший юрист (помощник арбитражного управляющего);Москва;Юридическая фирма ЮР-СТАТУС;105000.0;1;168.0
Стажер-юрист (Отдел правового сопровождения маркетплейса);Москва;Ozon;;0;168.0
Юрист в юридическую компанию;Шымкент;QAZ LEGAL ELITE;82500.0;0;168.0
Главный юрисконсульт Управления судебной и претензионной работы;Москва;Россети Центр инжиниринга и управления строительством Единой энергетической системы;203277.0;6;168.0
Юрист по взысканию дебиторской задолженности;Москва;А101-Комфорт;115000.0;1;168.0
Юрист;Санкт-Петербург;Базис Импорт;;1;168.0
Юрист;Самара;Travels by Soul;50000.0;1;
Ведущий юрист;Сургут;УК Северный Берег;80000.0;1;168.0
Юрист;Астана;Национальный центр инноваций и предпринимательства;45000.0;1;168.0
Юрист по взысканию дебиторской задолженности/ Судебный юрист;Зеленоград;СМАРТ ПРОПЕРТИ МЕНЕДЖМЕНТ;150000.0;3;168.0
Юрист (эксперт по работе с юридическими документами);Ставрополь;Емельченко Кирилл Александрович;50000.0;3;
Юрист;Санкт-Петербург;УСПЕХ;80000.0;6;168.0
Помощник юриста;Анапа;УК ФЦБ;65000.0;1;168.0
Юрист транспортной компании;Санкт-Петербург;Империя;120000.0;3;168.0
Юрист;Ижевск;Международный Восточно-Европейский Колледж;50000.0;1;168.0
Помощник юриста;Санкт-Петербург;Юридическое агентство Петербургское Право;60000.0;1;168.0
Юрист;Красноярск;Кристалл;50000.0;1;
Юрист-представитель;Санкт-Петербург;Лвг;102500.0;1;168.0
Юрист;Алматы;Osstem Implant;97500.0;1;168.0
Юрист;Сочи;Олл Фрут;42500.0;1;84.0
Юрист (крипта/финтех);Бишкек;Кимирилов Семен Игоревич;209000.0;3;168.0
Юрист-стажер/Помощник юриста;Москва;Профессиональный правовой альянс;;0;94.5
Помощник юриста в сфере недвижимости;Набережные Челны;Агентство недвижимости ФАРД;72000.0;1;168.0
Юрист по агентским договорам (финансовый сектор);Москва;Согласие, страховая компания;;3;168.0
Юрист;Москва;Стрелковый клуб Fireline;;1;168.0
Юрист;Хабаровск;Этажи Дальний Восток;70000.0;1;168.0
Юрист;Москва;ПЕРВЫЙ ЗАВОД;200000.0;6;168.0
Помощник юриста;Уфа;Перспектива;50000.0;1;168.0
Помощник юриста;Обнинск;Белорусский квартал;;1;168.0
Юрист/ ведущий юрист по сопровождению бизнеса;Новосибирск;Юридическое партнерство Курсив;;3;168.0
Юрист;Ташкент;ЧАКБ «ДАВР БАНК» ;;3;207.0
Ведущий юрист/юрисконсульт;Москва;Гауф Рус;180000.0;3;168.0
Судебный юрист (Коммерческая недвижимость);Москва;РИОТЭКС;150000.0;3;168.0
Юрисконсульт с функциями специалиста по закупкам;Кемерово;ГПОУ КемТИПиСУ;70000.0;1;168.0
Юрисконсульт;Ростов-на-Дону;ЧОО Атлантис-Щит;86225.0;3;168.0
Корпоративный юрист;Москва;Технодинамика;;3;168.0
Юрист;Казань;Планета Фитнес;60000.0;3;168.0
Юрисконсульт;Армавир;КРАСНОДАРТЕПЛОЭНЕРГО;69000.0;3;168.0
Юрист-делопроизводитель в сеть отелей и ресторанов;Адлер;Stellar Hotels;70000.0;1;168.0
Налоговый юрист;Москва;Адвокатское бюро города Москвы Деловой фарватер;;3;168.0
Юрисконсульт;Иркутск;Строй Менеджмент;80000.0;3;168.0
