name;area;employer;salary;experience;monthly_hours
Сварщик;Набережные Челны;Химпродукт;85000.0;1;220.0
Электрогазосварщик 4-5 разряда;Брест;ЭкспансИнвест;;1;180.0
Сварщик;Кемерово;Олимп-Кадры;520000.0;1;260.0
Электрогазосварщик;Омск;ГЕЛИОС-2000;115000.0;1;176.0
Сварщик;Кумертау;Производственная Компания Южурал-Ойл;;1;176.0
Электрогазосварщик;Новосибирск;ФГБОУ ВО Сибирский Государственный Университет Путей Сообщения;55000.0;3;176.0
Электрогазосварщик;Челябинск;Желдорпром;100000.0;1;176.0
Слесарь (сварщик);Нижнекамск;Газпром нефть;205000.0;1;176.0
Электрогазосварщик;Новосибирск;МС-ГРУП;200000.0;1;286.0
Сварщик;Узловая;Прудских Владимир Владимирович;80000.0;1;176.0
Сварщик;Актау;М-СтройТранс;37500.0;3;176.0
Электрогазосварщик;Владивосток;Независимая нефтегазовая компания;;3;176.0
Сварщик на завод металлоконструкций;Ржев;Металлоцех;145000.0;1;264.0
Электросварщик;Санкт-Петербург;Адвирос;120000.0;1;240.0
Электросварщик труб на стане;Елабуга;НТЗ ТЭМПО;89000.0;1;192.5
Сварщик-аргонщик в пос. Саббета;Екатеринбург;СтройИнвестПроект;341000.0;3;220.0
Электрогазосварщик 4 разряда;Павловская;Агрокомплекс Лабинский;;1;176.0
Сварщик РД;Екатеринбург;АСТКОН;;3;260.0
Сварщик на полуавтомат/автомат;Бугульма;СварТехМонтаж;285000.0;1;220.0
Сварщик;Тверь;ЖЕЛДОРСТРОЙ;180000.0;3;286.0
Электрогазосварщик;Елабуга;НТЗ ТЭМПО;89000.0;1;192.5
Электрогазосварщик;Чебоксары;Торговый дом Славянский;100000.0;1;240.0
Электрогазосварщик;Карталы;Российские железные дороги;45500.0;0;176.0
Электрогазосварщик;Березовский (Кемеровская область);ПК Асфальт;62500.0;1;175.75
Сварщик;Щербинка (Московская область);ГСК Механизация;180000.0;1;153.0
Сварщик трубопроводов;Санкт-Петербург;ПОЛАТИ;263200.0;1;
Сварщик-аргонщик;Сочи;ПОЛАТИ;263200.0;1;
Электросварщик (ручная сварка);Москва;ФГУП НИЦ Курчатовский институт - ВИАМ;80000.0;1;176.0
Сварщик на автомобильный завод;Санкт-Петербург;Джоб Мастер;87500.0;0;176.0
Сварщик на строительной площадке;Омск;СМТ СБ;110000.0;1;176.0
Сварщик (Екатеринбург);Челябинск;Производственные Резервы;177500.0;1;286.0
Электрогазосварщик;Санкт-Петербург;ПСБ ЖилСтрой;;3;176.0
Электрогазосварщик;Сочи;Красная Поляна, НАО;75900.0;1;180.0
Электрогазосварщик;Нижний Тагил;Вмм;90000.0;1;176.0
Сварщик;Кольчугино;Русклимат;90000.0;1;198.0
Электрогазосварщик;Ижевск;НПП Энерготех;90000.0;3;176.0
Электрогазосварщик 6 разряда;Новокузнецк;Вторресурс-Переработка;87600.0;1;176.0
Электрогазосварщик;Усть-Лабинск;КРАСНОДАРТЕПЛОЭНЕРГО;36800.0;1;176.0
Электрогазосварщик;Слуцк;Спецмостстрой;;1;176.0
Сварщик на полуавтомат;Ивантеевка (Московская область);Завод Металлических Конструкций Мами;150000.0;1;216.0
Электрогазосварщик 6 разряда;Новосибирск;Полиметалл;;3;286.0
Электрогазосварщик аварийной службы;Екатеринбург;Щербаков Сергей Николаевич;67500.0;1;
Электрогазосварщик;Тамбов;Группа Компаний РУСАГРО;79500.0;1;176.0
Сварщик ВОЛС (Спайщик ВОЛС);Воронеж;Интеркон;125000.0;1;185.0
Электрогазосварщик;Назарово;РН-РЕМСТРОЙИНЖИНИРИНГ;;1;176.0
Электрогазосварщик , 4 разряд;Новосибирск;НПО Курганприбор г. Новосибирск;95000.0;1;176.0
Сварщик;Астрахань;Гармонов Артем Владимирович;245000.0;1;242.0
Электросварщик ручной сварки;Вологда;Теплокомплектмонтаж;87500.0;1;176.0
Электросварщик в тепловые сети;Ижевск;Т Плюс;74000.0;0;176.0
Сварщик (РД НАКС в пос. Саббета);Братск;СтройИнвестПроект;341000.0;3;220.0
Сварщик на полуавтомат;Челябинск;Челябинский машиностроительный завод;80000.0;1;176.0
Электрогазосварщик;Калининград;ГАЗПРОМ ТРАНСГАЗ САНКТ-ПЕТЕРБУРГ;105000.0;1;176.0
Электрогазосварщик 5 разряда (г. Москва);Москва;ОСК 1520;500.0;1;220.0
Сварщик НАКС СК ОХНВП;Боготол;Профит Центр;277000.0;1;260.0
Сварщик;Хабаровск;ПОЛИМЕТАЛЛ ДВ;165000.0;3;286.0
Электрогазосварщик;Тула;Российские железные дороги;82000.0;0;180.0
Электрогазосварщик 3 разряда;Москва;Правительство Москвы;122887.0;0;176.0
Сварщик-сборщик металлоконструкций;Минск;ФЬОРД КОНСТРУКТ;;1;176.0
Сварщик;Якутск;Геотраст;200000.0;3;
"Электрогазосварщик 6 разряда на АЭС ""АККУЮ"", Турецкая Республика";Москва;Филиал ООО Тсм Энерджи Иншаат Санайи Лимитед Ширкети в Городе Сосновый Бор;260000.0;3;273.0
Электросварщик;Екатеринбург;Энергоинвест;120000.0;1;176.0
Сварщик;Брянск;Байкал;120000.0;3;176.0
Электрогазосварщик 5 разряда;Хабаровск;Донатриум;180000.0;3;220.0
Сварщик на машинах контактной сварки;Москва;АЛЬФА АВТОМАТИВ ТЕХНОЛОЖИЗ;100000.0;1;176.0
