name;salary;experience;company;region;monthly_hours
Python разработчик;;3;Т1;Казань;176.0
Python-разработчик;;3;ЦРТ | Группа компаний;Санкт-Петербург;176.0
Team Lead Python;;6;СБЕР;Москва;176.0
Старший Python-разработчик;300000.0;6;МФК Фордевинд;Москва;176.0
Разработчик Python;243500.0;1;ProfiStaff;Москва;176.0
Python Developer / Backend (Junior+/Middle);120000.0;1;VICTORY group;Екатеринбург;
Junior Python developer;;0;Emphasoft;Алматы;176.0
Python-разработчик;;6;HeadHunter;Москва;176.0
Python developer (Middle);200000.0;3;Майгрин Маркет;Новосибирск;176.0
Python Backend Developer (Middle / Middle+);105000.0;3;TIDAAR AI SOLUTIONS;Астана;176.0
Программист Python Middle (full-stack);;1;Брайт Солюшенз;Минск;176.0
Senior Python разработчик / CTO;300000.0;6;Pet Match AI;Москва;176.0
Test Automation Engineer | SDET | Middle+ | Python or Java;;3;Неткрэкер Текнолоджи Казахстан;Алматы;176.0
Fullstack-разработчик (Python, React/Typescript);;3;Гринатом;Нижний Новгород;176.0
Middle/Senior Python backend developer;;3;Норд Клан;Санкт-Петербург;176.0
Python преподаватель;75000.0;1;Ansar itcompany;Грозный;176.0
Python разработчик | Middle | Senior в Fintech;;3;МКК Луна;Москва;176.0
Backend-разработчик (Python);;3;Кука Тех;Нижний Новгород;176.0
Python Backend-разработчик (офис);;6;Standfin;Ростов-на-Дону;176.0
"Инженер-программист на проект ""Суверенная платформа искусственного интеллекта"" (Python).";;1;Центр банковских технологий;Минск;176.0
Python разработчик / Middle +;;3;Литрес;Москва;176.0
Python-разработчик;120000.0;1;Аватри;Екатеринбург;176.0
Backend Developer (Python);250000.0;3;САПРО;Казань;176.0
Python-разработчик;75000.0;1;ФГАНУ НИИ Спецвузавтоматика;Ростов-на-Дону;176.0
Python/Django разработчик;;1;РГ-Строй Групп;Казань;
Python Developer;;3;АКДев Групп;Минск;176.0
Senior Python Developer;400000.0;3;Деньги Вперед;Москва;176.0
Ведущий Python-разработчик;;3;Трубная Металлургическая Компания;Москва;176.0
Python Backend Developer (Quantum BU);266000.0;6;V4Scale;Израиль;176.0
Python AI разработчик;220000.0;1;ИЦ АЙ-ТЕКО;Москва;176.0
Middle Python-разработчик;;1;АНО АЦГ;Нижний Новгород;176.0
Программист Python/Django в веб-студию;85000.0;1;Вангер.рф - разработка сайтов;Иркутск;176.0
Python-разработчик;127500.0;1;Алабуга, ОЭЗ ППТ;Ижевск;176.0
SDET python (Авгур);;1;ТехАргос;Москва;176.0
